time_ps,copy,split_valid,split_ready,split_empty,split_error,split_accept,lane_match,would_enter_deassembly,deassembly_wrreq,deassembly_full,deassembly_empty,in_payload_valid,push_write_req,push_write_grant,run_state_code,pop_state_code,push_state_code,gts_8n,read_time_ptr,age_mod8192,hit_ts8n,hit_key,expected_copy,asic,channel,t_fine,ts12,hit1_data_hex,metadata_valid,metadata_hex
2016348000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1906,1,646,1260,78,2,X,19,0,0,0xXXc9d80000,1,0x0001efaa1X000013
2016348000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1906,1,646,1260,78,2,X,19,0,0,0xXXc9d80000,1,0x0001efaa1X000013
2016348000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1906,1,646,1260,78,2,X,19,0,0,0xXXc9d80000,1,0x0001efaa1X000013
2016356000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1907,1,1907,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016380000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1910,1,650,1260,78,2,X,20,0,0,0xXX09d80000,1,0x0001efae1X000014
2016380000,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1910,1,650,1260,78,2,X,20,0,0,0xXX09d80000,1,0x0001efae1X000014
2016380000,2,1,1,0,0,1,1,1,1,0,1,0,0,0,3,0,0,1910,1,650,1260,78,2,X,20,0,0,0xXX09d80000,1,0x0001efae1X000014
2016380000,3,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1910,1,650,1260,78,2,X,20,0,0,0xXX09d80000,1,0x0001efae1X000014
2016388000,2,0,1,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1911,1,1911,0,0,0,0,0,0,0,0x0000000000,0,0x0000000000000000
2016404000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1913,1,653,1260,78,2,X,21,0,0,0xXX49d80000,1,0x0001efb11X000015
