time_ps,tap,valid,ready,sop,eop,k_word,frame_header,subheader,frame_trailer,payload_region,tb_feb_valid,sidecar_valid,sidecar_hex,data_hex,decoded_asic,decoded_channel,decoded_t_fine
2313097600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1530000f7,12,0,0
2313104000,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f711X000345,0x0cXXa0000,X,5,0
2313104000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1540000f7,0,0,0
2313110400,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f751X000346,0x0cXXc0000,X,6,0
2313110400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1550000f7,4,0,0
2313116800,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f781X000347,0x0cXXe0000,X,7,0
2313116800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1560000f7,8,0,0
2313123200,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f7c1X000348,0x0cXX00000,X,8,0
2313123200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1570000f7,12,0,0
2313129600,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f7f1X000349,0x0cXX20000,X,9,0
2313129600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1580000f7,0,0,0
2313136000,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f831X00034a,0x0cXX40000,X,10,0
2313136000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1590000f7,4,0,0
2313142400,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f861X00034b,0x0cXX60000,X,11,0
2313142400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15a0000f7,8,0,0
2313148800,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f8a1X00034c,0x0cXX80000,X,12,0
2313148800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15b0000f7,12,0,0
2313155200,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f8d1X00034d,0x0cXXa0000,X,13,0
2313155200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15c0000f7,0,0,0
2313161600,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f911X00034e,0x0cXXc0000,X,14,0
2313161600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15d0000f7,4,0,0
2313168000,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f941X00034f,0x0cXXe0000,X,15,0
2313168000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15e0000f7,8,0,0
2313174400,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f981X000350,0x0cXX00000,X,16,0
2313174400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x15f0000f7,12,0,0
2313180800,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f9b1X000351,0x0cXX20000,X,17,0
2313180800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1600000f7,0,0,0
2313187200,0,1,1,0,0,0,0,0,0,1,1,1,0x00026f9f1X000352,0x0cXX40000,X,18,0
2313187200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1610000f7,4,0,0
2313193600,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fa21X000353,0x0cXX60000,X,19,0
2313193600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1620000f7,8,0,0
2313200000,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fa61X000354,0x0cXX80000,X,20,0
2313200000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1630000f7,12,0,0
2313206400,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fa91X000355,0x0cXXa0000,X,21,0
2313206400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1640000f7,0,0,0
2313212800,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fad1X000356,0x0cXXc0000,X,22,0
2313212800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1650000f7,4,0,0
2313219200,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fb01X000357,0x0cXXe0000,X,23,0
2313219200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1660000f7,8,0,0
2313225600,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fb41X000358,0x0cXX00000,X,24,0
2313225600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1670000f7,12,0,0
2313232000,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fb71X000359,0x0cXX20000,X,25,0
2313232000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1680000f7,0,0,0
2313238400,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fbb1X00035a,0x0cXX40000,X,26,0
2313238400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1690000f7,4,0,0
2313244800,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fbe1X00035b,0x0cXX60000,X,27,0
2313244800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16a0000f7,8,0,0
2313251200,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fc21X00035c,0x0cXX80000,X,28,0
2313251200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16b0000f7,12,0,0
2313257600,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fc51X00035d,0x0cXXa0000,X,29,0
2313257600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16c0000f7,0,0,0
2313264000,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fc91X00035e,0x0cXXc0000,X,30,0
2313264000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16d0000f7,4,0,0
2313270400,0,1,1,0,0,0,0,0,0,1,1,1,0x00026fcc1X00035f,0x0cXXe0000,X,31,0
2313270400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16e0000f7,8,0,0
2313276800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x14f0000f7,12,0,0
2313276800,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x16f0000f7,12,0,0
2313283200,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1500000f7,0,0,0
2313283200,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1700000f7,0,0,0
2313289600,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1510000f7,4,0,0
2313289600,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1710000f7,4,0,0
2313296000,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1520000f7,8,0,0
2313296000,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1720000f7,8,0,0
2313302400,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1530000f7,12,0,0
2313302400,1,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1730000f7,12,0,0
2313308800,0,1,1,0,0,1,0,1,0,1,0,0,0x0000000000000000,0x1540000f7,0,0,0
