time_ps,bank,debug_valid,debug_delay_cycles,hit1_valid,hit1_ready,hit1_empty,hit1_error,hit_ts8n,hit_key,asic,channel,t_fine,metadata_valid,metadata_hex
2838460000,0,1,62,1,1,0,0,6301,137,X,0,0,1,0x000381161X000a40
2838484000,0,1,65,1,1,0,0,6301,137,X,1,0,1,0x000381191X000a41
2838516000,0,1,69,1,1,0,0,6301,137,X,2,0,1,0x0003811d1X000a42
2838540000,0,1,72,1,1,0,0,6301,137,X,3,0,1,0x000381201X000a43
2838572000,0,1,76,1,1,0,0,6301,137,X,4,0,1,0x000381241X000a44
2838596000,0,1,79,1,1,0,0,6301,137,X,5,0,1,0x000381271X000a45
2838628000,0,1,83,1,1,0,0,6301,137,X,6,0,1,0x0003812b1X000a46
2838652000,0,1,86,1,1,0,0,6301,137,X,7,0,1,0x0003812e1X000a47
2838684000,0,1,90,1,1,0,0,6301,137,X,8,0,1,0x000381321X000a48
2838708000,0,1,93,1,1,0,0,6301,137,X,9,0,1,0x000381351X000a49
2838740000,0,1,97,1,1,0,0,6301,137,X,10,0,1,0x000381391X000a4a
2838764000,0,1,100,1,1,0,0,6301,137,X,11,0,1,0x0003813c1X000a4b
2838796000,0,1,104,1,1,0,0,6301,137,X,12,0,1,0x000381401X000a4c
2838820000,0,1,107,1,1,0,0,6301,137,X,13,0,1,0x000381431X000a4d
2838852000,0,1,111,1,1,0,0,6301,137,X,14,0,1,0x000381471X000a4e
2838876000,0,1,114,1,1,0,0,6301,137,X,15,0,1,0x0003814a1X000a4f
2838908000,0,1,118,1,1,0,0,6301,137,X,16,0,1,0x0003814e1X000a50
2838932000,0,1,121,1,1,0,0,6301,137,X,17,0,1,0x000381511X000a51
2838964000,0,1,125,1,1,0,0,6301,137,X,18,0,1,0x000381551X000a52
2845740000,0,1,972,1,1,0,0,6301,137,X,19,0,1,0x000384a41X000a53
2845772000,0,1,976,1,1,0,0,6301,137,X,20,0,1,0x000384a81X000a54
2845796000,0,1,979,1,1,0,0,6301,137,X,21,0,1,0x000384ab1X000a55
2845828000,0,1,983,1,1,0,0,6301,137,X,22,0,1,0x000384af1X000a56
2845852000,0,1,986,1,1,0,0,6301,137,X,23,0,1,0x000384b21X000a57
2845884000,0,1,990,1,1,0,0,6301,137,X,24,0,1,0x000384b61X000a58
2845908000,0,1,993,1,1,0,0,6301,137,X,25,0,1,0x000384b91X000a59
2845940000,0,1,997,1,1,0,0,6301,137,X,26,0,1,0x000384bd1X000a5a
2845964000,0,1,1000,1,1,0,0,6301,137,X,27,0,1,0x000384c01X000a5b
2845996000,0,1,1004,1,1,0,0,6301,137,X,28,0,1,0x000384c41X000a5c
2846020000,0,1,1007,1,1,0,0,6301,137,X,29,0,1,0x000384c71X000a5d
2846052000,0,1,1011,1,1,0,0,6301,137,X,30,0,1,0x000384cb1X000a5e
2846076000,0,1,1014,1,1,0,0,6301,137,X,31,0,1,0x000384ce1X000a5f
2853020000,0,1,622,1,1,0,0,7561,216,X,0,0,1,0x000388321X000a60
2853044000,0,1,625,1,1,0,0,7561,216,X,1,0,1,0x000388351X000a61
2853076000,0,1,629,1,1,0,0,7561,216,X,2,0,1,0x000388391X000a62
2853100000,0,1,632,1,1,0,0,7561,216,X,3,0,1,0x0003883c1X000a63
2853132000,0,1,636,1,1,0,0,7561,216,X,4,0,1,0x000388401X000a64
2853156000,0,1,639,1,1,0,0,7561,216,X,5,0,1,0x000388431X000a65
2853188000,0,1,643,1,1,0,0,7561,216,X,6,0,1,0x000388471X000a66
2853212000,0,1,646,1,1,0,0,7561,216,X,7,0,1,0x0003884a1X000a67
2853244000,0,1,650,1,1,0,0,7561,216,X,8,0,1,0x0003884e1X000a68
2853268000,0,1,653,1,1,0,0,7561,216,X,9,0,1,0x000388511X000a69
2853300000,0,1,657,1,1,0,0,7561,216,X,10,0,1,0x000388551X000a6a
2853324000,0,1,660,1,1,0,0,7561,216,X,11,0,1,0x000388581X000a6b
2853356000,0,1,664,1,1,0,0,7561,216,X,12,0,1,0x0003885c1X000a6c
2853380000,0,1,667,1,1,0,0,7561,216,X,13,0,1,0x0003885f1X000a6d
2853412000,0,1,671,1,1,0,0,7561,216,X,14,0,1,0x000388631X000a6e
2853436000,0,1,674,1,1,0,0,7561,216,X,15,0,1,0x000388661X000a6f
2853468000,0,1,678,1,1,0,0,7561,216,X,16,0,1,0x0003886a1X000a70
2853492000,0,1,681,1,1,0,0,7561,216,X,17,0,1,0x0003886d1X000a71
2853524000,0,1,685,1,1,0,0,7561,216,X,18,0,1,0x000388711X000a72
2853548000,0,1,688,1,1,0,0,7561,216,X,19,0,1,0x000388741X000a73
2853580000,0,1,692,1,1,0,0,7561,216,X,20,0,1,0x000388781X000a74
2853604000,0,1,695,1,1,0,0,7561,216,X,21,0,1,0x0003887b1X000a75
2853636000,0,1,699,1,1,0,0,7561,216,X,22,0,1,0x0003887f1X000a76
2853660000,0,1,702,1,1,0,0,7561,216,X,23,0,1,0x000388821X000a77
2853692000,0,1,706,1,1,0,0,7561,216,X,24,0,1,0x000388861X000a78
2853716000,0,1,709,1,1,0,0,7561,216,X,25,0,1,0x000388891X000a79
2853748000,0,1,713,1,1,0,0,7561,216,X,26,0,1,0x0003888d1X000a7a
2853772000,0,1,716,1,1,0,0,7561,216,X,27,0,1,0x000388901X000a7b
2853804000,0,1,720,1,1,0,0,7561,216,X,28,0,1,0x000388941X000a7c
2853828000,0,1,723,1,1,0,0,7561,216,X,29,0,1,0x000388971X000a7d
2853860000,0,1,727,1,1,0,0,7561,216,X,30,0,1,0x0003889b1X000a7e
2853884000,0,1,730,1,1,0,0,7561,216,X,31,0,1,0x0003889e1X000a7f
2860300000,0,1,271,1,1,0,0,630,39,X,0,0,1,0x00038bc01X000a80
2860324000,0,1,274,1,1,0,0,630,39,X,1,0,1,0x00038bc31X000a81
2860356000,0,1,278,1,1,0,0,630,39,X,2,0,1,0x00038bc71X000a82
2860380000,0,1,281,1,1,0,0,630,39,X,3,0,1,0x00038bca1X000a83
2860412000,0,1,285,1,1,0,0,630,39,X,4,0,1,0x00038bce1X000a84
2860436000,0,1,288,1,1,0,0,630,39,X,5,0,1,0x00038bd11X000a85
2860468000,0,1,292,1,1,0,0,630,39,X,6,0,1,0x00038bd51X000a86
2860492000,0,1,295,1,1,0,0,630,39,X,7,0,1,0x00038bd81X000a87
2860524000,0,1,299,1,1,0,0,630,39,X,8,0,1,0x00038bdc1X000a88
2860548000,0,1,302,1,1,0,0,630,39,X,9,0,1,0x00038bdf1X000a89
2860580000,0,1,306,1,1,0,0,630,39,X,10,0,1,0x00038be31X000a8a
2860604000,0,1,309,1,1,0,0,630,39,X,11,0,1,0x00038be61X000a8b
2860636000,0,1,313,1,1,0,0,630,39,X,12,0,1,0x00038bea1X000a8c
2860660000,0,1,316,1,1,0,0,630,39,X,13,0,1,0x00038bed1X000a8d
2860692000,0,1,320,1,1,0,0,630,39,X,14,0,1,0x00038bf11X000a8e
2860716000,0,1,323,1,1,0,0,630,39,X,15,0,1,0x00038bf41X000a8f
2860748000,0,1,327,1,1,0,0,630,39,X,16,0,1,0x00038bf81X000a90
2860772000,0,1,330,1,1,0,0,630,39,X,17,0,1,0x00038bfb1X000a91
2860804000,0,1,334,1,1,0,0,630,39,X,18,0,1,0x00038bff1X000a92
2860828000,0,1,337,1,1,0,0,630,39,X,19,0,1,0x00038c021X000a93
2860860000,0,1,341,1,1,0,0,630,39,X,20,0,1,0x00038c061X000a94
2860884000,0,1,344,1,1,0,0,630,39,X,21,0,1,0x00038c091X000a95
2860916000,0,1,348,1,1,0,0,630,39,X,22,0,1,0x00038c0d1X000a96
2860940000,0,1,351,1,1,0,0,630,39,X,23,0,1,0x00038c101X000a97
2860972000,0,1,355,1,1,0,0,630,39,X,24,0,1,0x00038c141X000a98
2860996000,0,1,358,1,1,0,0,630,39,X,25,0,1,0x00038c171X000a99
2861028000,0,1,362,1,1,0,0,630,39,X,26,0,1,0x00038c1b1X000a9a
2861052000,0,1,365,1,1,0,0,630,39,X,27,0,1,0x00038c1e1X000a9b
2861084000,0,1,369,1,1,0,0,630,39,X,28,0,1,0x00038c221X000a9c
