hit_id,lane,channel,t_fine,t_coarse,root_hit_id,abs_ts_a,abs_ts_pre_rbcam,run_origin
990342417484376,0,24,0,15297,990342417484376,2845748000,2845884000,1
990355302386265,0,25,0,15297,990355302386265,2845772000,2845908000,1
990372482255450,0,26,0,15297,990372482255450,2845804000,2845940000,1
990385367157339,0,27,0,15297,990385367157339,2845828000,2845964000,1
990402547026524,0,28,0,15297,990402547026524,2845860000,2845996000,1
990415431928413,0,29,0,15297,990415431928413,2845884000,2846020000,1
990432611797598,0,30,0,15297,990432611797598,2845916000,2846052000,1
990445496699487,0,31,0,15297,990445496699487,2845940000,2846076000,1
994173528312416,0,0,0,139,994173528312416,2852884000,2853020000,1
994186413214305,0,1,0,139,994186413214305,2852908000,2853044000,1
994203593083490,0,2,0,139,994203593083490,2852940000,2853076000,1
994216477985379,0,3,0,139,994216477985379,2852964000,2853100000,1
994233657854564,0,4,0,139,994233657854564,2852996000,2853132000,1
994246542756453,0,5,0,139,994246542756453,2853020000,2853156000,1
994263722625638,0,6,0,139,994263722625638,2853052000,2853188000,1
994276607527527,0,7,0,139,994276607527527,2853076000,2853212000,1
994293787396712,0,8,0,139,994293787396712,2853108000,2853244000,1
994306672298601,0,9,0,139,994306672298601,2853132000,2853268000,1
994323852167786,0,10,0,139,994323852167786,2853164000,2853300000,1
994336737069675,0,11,0,139,994336737069675,2853188000,2853324000,1
994353916938860,0,12,0,139,994353916938860,2853220000,2853356000,1
994366801840749,0,13,0,139,994366801840749,2853244000,2853380000,1
994383981709934,0,14,0,139,994383981709934,2853276000,2853412000,1
994396866611823,0,15,0,139,994396866611823,2853300000,2853436000,1
994414046481008,0,16,0,139,994414046481008,2853332000,2853468000,1
994426931382897,0,17,0,139,994426931382897,2853356000,2853492000,1
994444111252082,0,18,0,139,994444111252082,2853388000,2853524000,1
994456996153971,0,19,0,139,994456996153971,2853412000,2853548000,1
994474176023156,0,20,0,139,994474176023156,2853444000,2853580000,1
994487060925045,0,21,0,139,994487060925045,2853468000,2853604000,1
994504240794230,0,22,0,139,994504240794230,2853500000,2853636000,1
994517125696119,0,23,0,139,994517125696119,2853524000,2853660000,1
994534305565304,0,24,0,139,994534305565304,2853556000,2853692000,1
994547190467193,0,25,0,139,994547190467193,2853580000,2853716000,1
994564370336378,0,26,0,139,994564370336378,2853612000,2853748000,1
994577255238267,0,27,0,139,994577255238267,2853636000,2853772000,1
994594435107452,0,28,0,139,994594435107452,2853668000,2853804000,1
994607320009341,0,29,0,139,994607320009341,2853692000,2853828000,1
994624499878526,0,30,0,139,994624499878526,2853724000,2853860000,1
994637384780415,0,31,0,139,994637384780415,2853748000,2853884000,1
998081948551808,0,0,0,12749,998081948551808,2860164000,2860300000,1
998094833453697,0,1,0,12749,998094833453697,2860188000,2860324000,1
998112013322882,0,2,0,12749,998112013322882,2860220000,2860356000,1
998124898224771,0,3,0,12749,998124898224771,2860244000,2860380000,1
998142078093956,0,4,0,12749,998142078093956,2860276000,2860412000,1
998154962995845,0,5,0,12749,998154962995845,2860300000,2860436000,1
998172142865030,0,6,0,12749,998172142865030,2860332000,2860468000,1
998185027766919,0,7,0,12749,998185027766919,2860356000,2860492000,1
998202207636104,0,8,0,12749,998202207636104,2860388000,2860524000,1
998215092537993,0,9,0,12749,998215092537993,2860412000,2860548000,1
998232272407178,0,10,0,12749,998232272407178,2860444000,2860580000,1
998245157309067,0,11,0,12749,998245157309067,2860468000,2860604000,1
998262337178252,0,12,0,12749,998262337178252,2860500000,2860636000,1
998275222080141,0,13,0,12749,998275222080141,2860524000,2860660000,1
998292401949326,0,14,0,12749,998292401949326,2860556000,2860692000,1
998305286851215,0,15,0,12749,998305286851215,2860580000,2860716000,1
998322466720400,0,16,0,12749,998322466720400,2860612000,2860748000,1
998335351622289,0,17,0,12749,998335351622289,2860636000,2860772000,1
998352531491474,0,18,0,12749,998352531491474,2860668000,2860804000,1
998365416393363,0,19,0,12749,998365416393363,2860692000,2860828000,1
998382596262548,0,20,0,12749,998382596262548,2860724000,2860860000,1
998395481164437,0,21,0,12749,998395481164437,2860748000,2860884000,1
998412661033622,0,22,0,12749,998412661033622,2860780000,2860916000,1
998425545935511,0,23,0,12749,998425545935511,2860804000,2860940000,1
998442725804696,0,24,0,12749,998442725804696,2860836000,2860972000,1
998455610706585,0,25,0,12749,998455610706585,2860860000,2860996000,1
998472790575770,0,26,0,12749,998472790575770,2860892000,2861028000,1
998485675477659,0,27,0,12749,998485675477659,2860916000,2861052000,1
998502855346844,0,28,0,12749,998502855346844,2860948000,2861084000,1
998515740248733,0,29,0,12749,998515740248733,2860972000,2861108000,1
998532920117918,0,30,0,12749,998532920117918,2861004000,2861140000,1
998545805019807,0,31,0,12749,998545805019807,2861028000,2861164000,1
1005898789030560,0,0,0,6611,1005898789030560,2874724000,2874860000,1
1005911673932449,0,1,0,6611,1005911673932449,2874748000,2874884000,1
1005928853801634,0,2,0,6611,1005928853801634,2874780000,2874916000,1
1005941738703523,0,3,0,6611,1005941738703523,2874804000,2874940000,1
1005958918572708,0,4,0,6611,1005958918572708,2874836000,2874972000,1
1005971803474597,0,5,0,6611,1005971803474597,2874860000,2874996000,1
1005988983343782,0,6,0,6611,1005988983343782,2874892000,2875028000,1
1006001868245671,0,7,0,6611,1006001868245671,2874916000,2875052000,1
1006019048114856,0,8,0,6611,1006019048114856,2874948000,2875084000,1
1006031933016745,0,9,0,6611,1006031933016745,2874972000,2875108000,1
1006049112885930,0,10,0,6611,1006049112885930,2875004000,2875140000,1
1006061997787819,0,11,0,6611,1006061997787819,2875028000,2875164000,1
1006079177657004,0,12,0,6611,1006079177657004,2875060000,2875196000,1
1006092062558893,0,13,0,6611,1006092062558893,2875084000,2875220000,1
1006109242428078,0,14,0,6611,1006109242428078,2875116000,2875252000,1
1006122127329967,0,15,0,6611,1006122127329967,2875140000,2875276000,1
1006139307199152,0,16,0,6611,1006139307199152,2875172000,2875308000,1
1006152192101041,0,17,0,6611,1006152192101041,2875196000,2875332000,1
1006169371970226,0,18,0,6611,1006169371970226,2875228000,2875364000,1
1006182256872115,0,19,0,6611,1006182256872115,2875252000,2875388000,1
1006199436741300,0,20,0,6611,1006199436741300,2875284000,2875420000,1
1006212321643189,0,21,0,6611,1006212321643189,2875308000,2875444000,1
1006229501512374,0,22,0,6611,1006229501512374,2875340000,2875476000,1
1006242386414263,0,23,0,6611,1006242386414263,2875364000,2875500000,1
1006259566283448,0,24,0,6611,1006259566283448,2875396000,2875532000,1
1006272451185337,0,25,0,6611,1006272451185337,2875420000,2875556000,1
1006289631054522,0,26,0,6611,1006289631054522,2875452000,2875588000,1
1006302515956411,0,27,0,6611,1006302515956411,2875476000,2875612000,1
1006319695825596,0,28,0,6611,1006319695825596,2875508000,2875644000,1
1006332580727485,0,29,0,6611,1006332580727485,2875532000,2875668000,1
1006349760596670,0,30,0,6611,1006349760596670,2875564000,2875700000,1
1006362645498559,0,31,0,6611,1006362645498559,2875588000,2875724000,1
1009807209269952,0,0,0,4502,1009807209269952,2882004000,2882140000,1
1009820094171841,0,1,0,4502,1009820094171841,2882028000,2882164000,1
1009837274041026,0,2,0,4502,1009837274041026,2882060000,2882196000,1
1009850158942915,0,3,0,4502,1009850158942915,2882084000,2882220000,1
1009867338812100,0,4,0,4502,1009867338812100,2882116000,2882252000,1
1009880223713989,0,5,0,4502,1009880223713989,2882140000,2882276000,1
1009897403583174,0,6,0,4502,1009897403583174,2882172000,2882308000,1
1009910288485063,0,7,0,4502,1009910288485063,2882196000,2882332000,1
1009927468354248,0,8,0,4502,1009927468354248,2882228000,2882364000,1
1009940353256137,0,9,0,4502,1009940353256137,2882252000,2882388000,1
1009957533125322,0,10,0,4502,1009957533125322,2882284000,2882420000,1
1009970418027211,0,11,0,4502,1009970418027211,2882308000,2882444000,1
1009987597896396,0,12,0,4502,1009987597896396,2882340000,2882476000,1
1010000482798285,0,13,0,4502,1010000482798285,2882364000,2882500000,1
1010017662667470,0,14,0,4502,1010017662667470,2882396000,2882532000,1
1010030547569359,0,15,0,4502,1010030547569359,2882420000,2882556000,1
1010047727438544,0,16,0,4502,1010047727438544,2882452000,2882588000,1
1010060612340433,0,17,0,4502,1010060612340433,2882476000,2882612000,1
1010077792209618,0,18,0,4502,1010077792209618,2882508000,2882644000,1
1010090677111507,0,19,0,4502,1010090677111507,2882532000,2882668000,1
1010107856980692,0,20,0,4502,1010107856980692,2882564000,2882700000,1
1010120741882581,0,21,0,4502,1010120741882581,2882588000,2882724000,1
1010137921751766,0,22,0,4502,1010137921751766,2882620000,2882756000,1
1010150806653655,0,23,0,4502,1010150806653655,2882644000,2882780000,1
