hit_id,lane,channel,t_fine,t_coarse,root_hit_id,abs_ts_a,abs_ts_pre_rbcam,abs_ts_post_rbcam,abs_ts_feb_egress,run_origin
575972562698432,0,0,0,17902,575972562698432,2073924000,2074060000,2087756000,2116214400,1
575985447600321,0,1,0,17902,575985447600321,2073948000,2074084000,2087788000,2116220800,1
576002627469506,0,2,0,17902,576002627469506,2073980000,2074116000,2087820000,2116227200,1
576015512371395,0,3,0,17902,576015512371395,2074004000,2074140000,2087852000,2116233600,1
576032692240580,0,4,0,17902,576032692240580,2074036000,2074172000,2087884000,2116240000,1
576045577142469,0,5,0,17902,576045577142469,2074060000,2074196000,2087916000,2116246400,1
576062757011654,0,6,0,17902,576062757011654,2074092000,2074228000,2087948000,2116252800,1
576075641913543,0,7,0,17902,576075641913543,2074116000,2074252000,2087980000,2116259200,1
576092821782728,0,8,0,17902,576092821782728,2074148000,2074284000,2088012000,2116265600,1
576105706684617,0,9,0,17902,576105706684617,2074172000,2074308000,2088044000,2116272000,1
576122886553802,0,10,0,17902,576122886553802,2074204000,2074340000,2088076000,2116278400,1
576135771455691,0,11,0,17902,576135771455691,2074228000,2074364000,2088108000,2116284800,1
576152951324876,0,12,0,17902,576152951324876,2074260000,2074396000,2088140000,2116291200,1
576165836226765,0,13,0,17902,576165836226765,2074284000,2074420000,2088172000,2116297600,1
576183016095950,0,14,0,17902,576183016095950,2074316000,2074452000,2088204000,2116304000,1
576195900997839,0,15,0,17902,576195900997839,2074340000,2074476000,2088236000,2116310400,1
576213080867024,0,16,0,17902,576213080867024,2074372000,2074508000,2088268000,2116316800,1
576225965768913,0,17,0,17902,576225965768913,2074396000,2074532000,2088300000,2116323200,1
576243145638098,0,18,0,17902,576243145638098,2074428000,2074564000,2088332000,2116329600,1
576256030539987,0,19,0,17902,576256030539987,2074452000,2074588000,2088364000,2116336000,1
576273210409172,0,20,0,17902,576273210409172,2074484000,2074620000,2088396000,2116342400,1
576286095311061,0,21,0,17902,576286095311061,2074508000,2074644000,2088428000,2116348800,1
576303275180246,0,22,0,17902,576303275180246,2074540000,2074676000,2088460000,2116355200,1
576316160082135,0,23,0,17902,576316160082135,2074564000,2074700000,2088492000,2116361600,1
576333339951320,0,24,0,17902,576333339951320,2074596000,2074732000,2088524000,2116368000,1
576346224853209,0,25,0,17902,576346224853209,2074620000,2074756000,2088556000,2116374400,1
576363404722394,0,26,0,17902,576363404722394,2074652000,2074788000,2088588000,2116380800,1
576376289624283,0,27,0,17902,576376289624283,2074676000,2074812000,2088620000,2116387200,1
576393469493468,0,28,0,17902,576393469493468,2074708000,2074844000,2088652000,2116393600,1
576406354395357,0,29,0,17902,576406354395357,2074732000,2074868000,2088684000,2116400000,1
576423534264542,0,30,0,17902,576423534264542,2074764000,2074900000,2088716000,2116406400,1
576436419166431,0,31,0,17902,576436419166431,2074788000,2074924000,2088748000,2116412800,1
583789403177184,0,0,0,24036,583789403177184,2088484000,2088620000,2097868000,2116924800,1
583802288079073,0,1,0,24036,583802288079073,2088508000,2088644000,2097900000,2116931200,1
583819467948258,0,2,0,24036,583819467948258,2088540000,2088676000,2097932000,2116937600,1
