name,first_one_ps,last_one_ps,rise_count,one_samples,known_samples,final
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[3],500,2049000,3,4085,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[4],500,2049000,3,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[5],500,2049000,3,4069,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[6],305500,307000,1,4,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[7],500,2049000,5,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_data[8],500,2049000,3,4073,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_error[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_error[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_error[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_channel[0],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_channel[1],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_channel[2],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.decoded_din_channel[3],never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.headerinfo_valid,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.hit_type0_out_valid,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.hit_type0_out_ready,500,2049000,1,4097,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.backpressure_fifo.in_ready,500,2049000,1,4097,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.backpressure_fifo.out_valid,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.receiver_go,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.enable,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_valid,500,2047000,1024,2048,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.i_byteisk,500,2049000,7,4085,4097,1
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.n_frame_info_ready,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.aso_headerinfo_valid,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.aso_hit_type0_valid,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.p_new_word,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.n_new_word,never,never,0,0,4097,0
u_feb_system.u_qsys.data_path_subsystem.mutrig_datapath_subsystem_0.mutrig_frame_deassembly_0.asi_rx8b1k_data[0],301500,307000,2,8,4097,0
